endToEndDelay:vector Sim802154.server.app[0] ($N=13, #0 - Sim802154_app1-8-20230526-09:07:21-14264);;outgoingDataRate:vector Sim802154.gateway.eth[0].queue ($N=13, #0 - Sim802154_app1-8-20230526-09:07:21-14264);;packetReceived:vector(packetBytes) Sim802154.server.udp ($N=13, #0 - Sim802154_app1-8-20230526-09:07:21-14264);;throughput:vector Sim802154.server.app[0] ($N=13, #0 - Sim802154_app1-8-20230526-09:07:21-14264);
8.469011467488;0.002661976781999999;12.2;8960;8.469011467488;18;12.2;1600
8.477821458628;0.003782536781999999;12.3;5680;8.477821458628;33;12.3;2000
8.551931066897;0.003142536781999999;12.4;0;8.551931066897;33;12.4;0
8.582631270035;0.002981976781999999;12.5;14640;8.582631270035;18;12.5;3600
8.698152186393;0.002822536781999999;12.6;10160;8.698152186393;33;12.6;2800
8.726445751557;0.002981976781999999;12.7;17040;8.726445751557;18;12.7;6000
8.854911075271;0.002341976781999999;12.8;0;8.854911075271;18;12.8;0
8.950298389447;0.003462536781999999;12.9;13440;8.950298389447;33;12.9;2400
9.014959201721;0.003782536781999999;13;5680;9.014959201721;33;13;2000
9.07516645892;0.003621976782;13.1;10160;9.07516645892;18;13.1;2800
9.080508510208;0.002661976781999999;13.2;4480;9.080508510208;18;13.2;800
9.159300615147;0.003301976782;13.3;10160;9.159300615147;18;13.3;2800
9.276522248325;0.002822536781999999;13.4;0;9.276522248325;33;13.4;0
9.451627142491;0.002341976781999999;13.5;14640;9.451627142491;18;13.5;3600
9.478141458628;0.004102536781999999;13.6;10160;9.478141458628;33;13.6;2800
9.546201484075;0.002981976781999999;13.7;5680;9.546201484075;18;13.7;2000
9.553211066897;0.004422536781999998;13.8;4480;9.553211066897;33;13.8;800
9.559463630636;0.003301976782;13.9;4480;9.559463630636;18;13.9;800
9.664418991404;0.002661976781999999;14;10160;9.664418991404;18;14;2800
9.698152186393;0.002822536781999999;14.1;5680;9.698152186393;33;14.1;2000
9.950298389447;0.003462536781999999;14.2;0;9.950298389447;33;14.2;0
9.991434852037;0.002661976781999999;14.3;19120;9.991434852037;18;14.3;4400
9.996117397767;0.002341976781999999;14.4;0;9.996117397767;18;14.4;0
10.014959201721;0.003782536781999999;14.5;10160;10.014959201721;33;14.5;2800
10.030986053479;0.002021976781999999;14.6;10160;10.030986053479;18;14.6;2800
10.162062392451;0.003623736782;14.7;10160;10.162062392451;48;14.7;2800
10.25267916386;0.002341976781999999;14.8;0;10.25267916386;18;14.8;0
10.277802248325;0.004102536781999999;14.9;8960;10.277802248325;33;14.9;1600
10.313350963435;0.003621976782;15;5680;10.313350963435;18;15;2000
10.409289552523;0.002341976781999999;15.1;5680;10.409289552523;18;15.1;2000
10.477501458628;0.003462536781999999;15.2;20320;10.477501458628;33;15.2;5600
10.520201631148;0.004903736782;15.3;5680;10.520201631148;48;15.3;2000
10.524467682946;0.003301976782;15.4;8960;10.524467682946;18;15.4;1600
10.553211066897;0.004422536781999998;15.5;10160;10.553211066897;33;15.5;2800
10.668606197816;0.003621976782;15.6;12560;10.668606197816;18;15.6;5200
10.693067303141;0.003621976782;15.7;4480;10.693067303141;18;15.7;800
10.699112186393;0.003782536781999999;15.8;14640;10.699112186393;33;15.8;3600
10.935793390774;0.004261976782;15.9;0;10.935793390774;18;15.9;0
10.950298389447;0.003462536781999999;16;5680;10.950298389447;33;16;2000
11.013679201721;0.002502536781999999;16.1;5680;11.013679201721;33;16.1;2000
11.017833090162;0.003941976781999999;16.2;13440;11.017833090162;18;16.2;2400
11.02599917601;0.003301976782;16.3;12560;11.02599917601;18;16.3;5200
11.212702605551;0.003623736782;16.4;0;11.212702605551;48;16.4;0
11.270050919465;0.002341976781999999;16.5;14640;11.270050919465;18;16.5;3600
11.278122248325;0.004422536781999998;16.6;10160;11.278122248325;33;16.6;2800
11.343761931068;0.002981976781999999;16.7;5680;11.343761931068;18;16.7;2000
11.478141458628;0.004102536781999999;16.8;4480;11.478141458628;33;16.8;800
11.513371961894;0.002661976781999999;16.9;0;11.513371961894;18;16.9;0
11.551931066897;0.003142536781999999;17;10160;11.551931066897;33;17;2800
11.598043127792;0.004261976782;17.1;10160;11.598043127792;18;17.1;2800
11.698152186393;0.002822536781999999;17.2;0;11.698152186393;33;17.2;0
11.716389080345;0.004261976782;17.3;14640;11.716389080345;18;17.3;3600
11.75601417771;0.002341976781999999;17.4;4480;11.75601417771;18;17.4;800
11.937367735778;0.002661976781999999;17.5;10160;11.937367735778;18;17.5;2800
11.951258389447;0.004422536781999998;17.6;5680;11.951258389447;33;17.6;2000
12.014639201721;0.003462536781999999;17.7;11360;12.014639201721;33;17.7;4000
12.174995703962;0.003941976781999999;17.8;10160;12.174995703962;18;17.8;2800
12.183964529451;0.003621976782;17.9;0;12.183964529451;18;17.9;0
12.277482248325;0.003782536781999999;18;14640;12.277482248325;33;18;3600
12.415104386559;0.003621976782;18.1;5680;12.415104386559;18;18.1;2000
12.430523429055;0.002981976781999999;18.2;4480;12.430523429055;18;18.2;800
12.478781458628;0.004742536781999999;18.3;14640;12.478781458628;33;18.3;3600
12.54659038549;0.004261976782;18.4;0;12.54659038549;18;18.4;0
12.553211066897;0.004422536781999998;18.5;14640;12.553211066897;33;18.5;3600
12.612935786949;0.003303736782;18.6;10160;12.612935786949;48;18.6;2800
12.631362574392;0.003941976781999999;18.7;5680;12.631362574392;18;18.7;2000
12.699752186393;0.004422536781999998;18.8;8960;12.699752186393;33;18.8;1600
12.828347535288;0.002341976781999999;18.9;4480;12.828347535288;18;18.9;800
12.864100668031;0.002021976781999999;19;14640;12.864100668031;18;19;3600
12.890218481336;0.003941976781999999;19.1;5680;12.890218481336;18;19.1;2000
12.949658389447;0.002822536781999999;19.2;0;12.949658389447;33;19.2;0
13.014639201721;0.003462536781999999;19.3;5680;13.014639201721;33;19.3;2000
13.053157276837;0.003941976781999999;19.4;8960;13.053157276837;18;19.4;1600
13.198796635679;0.003621976782;19.5;10160;13.198796635679;18;19.5;2800
13.223872584558;0.002981976781999999;19.6;5680;13.223872584558;18;19.6;2000
13.276522248325;0.002822536781999999;19.7;10160;13.276522248325;33;19.7;2800
13.427782561356;0.003621976782;19.8;8960;13.427782561356;18;19.8;1600
13.453451560053;0.002981976781999999;19.9;0;13.453451560053;18;19.9;0
13.477181458628;0.003142536781999999;20;10160;13.477181458628;33;20;2800
13.550368672079;0.002021976781999999;20.1;14640;13.550368672079;18;20.1;3600
13.555579066897;0.006790536781999999;20.2;6880;13.555579066897;33;20.2;3200
13.698472186393;0.003142536781999999;20.3;10160;13.698472186393;33;20.3;2800
13.755123592716;0.003941976781999999;20.4;8960;13.755123592716;18;20.4;1600
13.825193389046;0.002981976781999999;20.5;5680;13.825193389046;18;20.5;2000
13.906683220627;0.003621976782;20.6;17040;13.906683220627;18;20.6;6000
13.950618389447;0.003782536781999999;20.7;5680;13.950618389447;33;20.7;2000
14.014959201721;0.003782536781999999;20.8;4480;14.014959201721;33;20.8;800
14.210045057755;0.002021976781999999;20.9;4480;14.210045057755;18;20.9;800
14.22189477734;0.002981976781999999;21;10160;14.22189477734;18;21;2800
14.226120755205;0.002021976781999999;21.1;10160;14.226120755205;18;21.1;2800
14.277162248325;0.003462536781999999;21.2;0;14.277162248325;33;21.2;0
14.477181458628;0.003142536781999999;21.3;17040;14.477181458628;33;21.3;6000
14.482095603369;0.004709976781999998;21.4;4480;14.482095603369;18;21.4;800
14.543720618455;0.003621976782;21.5;10160;14.543720618455;18;21.5;2800
14.552251066897;0.003462536781999999;21.6;5680;14.552251066897;33;21.6;2000
14.627491930008;0.004261976782;21.7;10160;14.627491930008;18;21.7;2800
14.699112186393;0.003782536781999999;21.8;0;14.699112186393;33;21.8;0
14.847192441973;0.004261976782;21.9;8960;14.847192441973;18;21.9;1600
14.87101335718;0.004261976782;22;10160;14.87101335718;18;22;2800
14.949658389447;0.002822536781999999;22.1;10160;14.949658389447;33;22.1;2800
15.014959201721;0.003782536781999999;22.2;8960;15.014959201721;33;22.2;1600
15.113381518886;0.003301976782;22.3;5680;15.113381518886;18;22.3;2000
15.117917604803;0.002981976781999999;22.4;0;15.117917604803;18;22.4;0
15.131030271068;0.002021976781999999;22.5;19120;15.131030271068;18;22.5;4400
15.163342392451;0.004903736782;22.6;5680;15.163342392451;48;22.6;2000
15.277162248325;0.003462536781999999;22.7;12560;15.277162248325;33;22.7;5200
15.328915983366;0.004261976782;22.8;8960;15.328915983366;18;22.8;1600
15.340094317579;0.002341976781999999;22.9;0;15.340094317579;18;22.9;0
15.469487304377;0.003301976782;23;14640;15.469487304377;18;23;3600
15.477501458628;0.003462536781999999;23.1;5680;15.477501458628;33;23.1;2000
15.520521631148;0.005223736781999999;23.2;4480;15.520521631148;48;23.2;800
15.551931066897;0.003142536781999999;23.3;10160;15.551931066897;33;23.3;2800
15.671858113614;0.002021976781999999;23.4;4480;15.671858113614;18;23.4;800
15.700072186393;0.004742536781999999;23.5;10160;15.700072186393;33;23.5;2800
15.703489151589;0.003109976781999999;23.6;10160;15.703489151589;18;23.6;2800
15.742541830501;0.002661976781999999;23.7;5680;15.742541830501;18;23.7;2000
15.950618389447;0.003782536781999999;23.8;4480;15.950618389447;33;23.8;800
16.015599201721;0.004422536781999998;23.9;0;16.015599201721;33;23.9;0
16.137420137807;0.002661976781999999;24;14640;16.137420137807;18;24;3600
16.147634142323;0.002981976781999999;24.1;10160;16.147634142323;18;24.1;2800
16.171891864114;0.002661976781999999;24.2;0;16.171891864114;18;24.2;0
16.212382605551;0.003303736782;24.3;10160;16.212382605551;48;24.3;2800
16.278442248325;0.004742536781999999;24.4;8960;16.278442248325;33;24.4;1600
16.431291210557;0.002661976781999999;24.5;5680;16.431291210557;18;24.5;2000
16.471827111429;0.003941976781999999;24.6;5680;16.471827111429;18;24.6;2000
16.477501458628;0.003462536781999999;24.7;5680;16.477501458628;33;24.7;2000
16.553531066897;0.004742536781999999;24.8;8960;16.553531066897;33;24.8;1600
16.588542742318;0.002981976781999999;24.9;4480;16.588542742318;18;24.9;800
16.699432186393;0.004102536781999999;25;5680;16.699432186393;33;25;2000
16.766017454659;0.002021976781999999;25.1;5680;16.766017454659;18;25.1;2000
16.951258389447;0.004422536781999998;25.2;11360;16.951258389447;33;25.2;4000
